evaluator,CONDITION,mean,sd,sem
openai/gpt-5.6-luna,direct,3.539855072463768,0.43743170954682636,0.03723665995127
openai/gpt-5.6-luna,indirect,2.8162525879917184,0.8523889580951719,0.07256016673251604
openai/gpt-5.6-sol,direct,3.7991718426501038,0.47541609368634236,0.0404701054578312
openai/gpt-5.6-sol,indirect,3.015527950310559,0.8088470262509942,0.06885363134809518
openai/gpt-5.6-terra,direct,3.8887163561076603,0.37628751276705225,0.03203172026859192
openai/gpt-5.6-terra,indirect,3.179089026915114,0.8177080077136397,0.0696079281819961
qwen/qwen3.7-flash,direct,3.4476650563607083,0.5996592750053468,0.051046387407835785
qwen/qwen3.7-flash,indirect,3.0110891523935006,0.807377730594643,0.06872855659578674
qwen/qwen3.7-max,direct,3.9849896480331264,0.17633170994288355,0.015010351966873699
qwen/qwen3.7-max,indirect,3.9321946169772253,0.3061418155764739,0.02606052198478138
qwen/qwen3.7-plus,direct,3.946256038647343,0.18750526476460475,0.015961508118251807
qwen/qwen3.7-plus,indirect,3.78743961352657,0.45987326612999163,0.03914701211145114
qwen/qwen3.8-2.4t-a95b,direct,3.530657748049052,0.4134910000939325,0.035198691423992644
qwen/qwen3.8-2.4t-a95b,indirect,2.8032329988851727,0.5553241645530453,0.047272332176392574
qwen/qwen3.8-27b,direct,3.5636070853462156,0.4781685497441155,0.040704410077311785
qwen/qwen3.8-27b,indirect,2.4806763285024154,0.6619409478310544,0.05634815548178211
qwen/qwen3.8-max,direct,3.541407867494824,0.5122375210615032,0.043604553510327666
qwen/qwen3.8-max,indirect,2.860726230291448,0.8101092727919045,0.06896108090923292
